insulin nph human novolin n 100 unitml suspension subcutaneous as directed by prescriber	insulin nph human novolin n 100 unitml suspension 6376 units subcutaneous as directed by prescriber
explained diagnosis and treatment plan patient expressed understanding of the content patient was given a copy of this note	i explained the diagnosis and treatment plan and the patient expressed understanding of the content
patient arrives via stretcher via emergency medical services unsteady gait lift to cart history obtained from patient patient appears comfortable patient cooperative alert oriented to person place and time	complex assessment performed patient arrives via stretcher via emergency medical services unsteady gait assistance to cart history obtained from patient patient appears comfortable patient cooperative alert oriented to person place and time
dimension 3 emotional behavioral or cognitive conditions and complications the patient received a risk score of 1 interference with addiction recovery emotional concerns related to negative consequences and effects of addiction patient is able to view these as part of addiction and recovery	dimension 3 emotional behavioral or cognitive conditions and complications the patient received a risk score of 2 heshe reports or demonstrates symptoms of depression
identified illness as a learning need patients primary language is english no barriers to learning were identified no interventions were used to address barriers to learning teaching methods used included printed patient instructions verbal instructions patient demonstrated and verbalized an understanding of discharge teaching	identified illness as a learning need identified injury as a learning need identified followup care as a learning need patients primary language is english no barriers to learning were identified no interventions were used to address barriers to learning teaching methods used included printed patient instructions verbal instructions patient verbalized an understanding of discharge teaching
identified illness as a learning need no barriers to learning were identified no interventions were used to address barriers to learning teaching methods used included printed patient instructions patient verbalized an understanding of discharge teaching	identified illness as a learning need identified followup care as a learning need patients primary language is english no barriers to learning were identified no interventions were used to address barriers to learning teaching methods used included printed patient instructions verbal instructions
discussed risks goals and necessity of other members of the team participating in the procedure with patient	discussed the risks goals alternatives and advanced directives and the necessity of other members of the healthcare team participating in the procedure
they do not have a copy of the dates at this time asked that a copy of the immunization dates be brought to the next clinic appointment	immunizations asked that a copy of the immunization dates be brought to the next clinic appointment
identified illness as a learning need no barriers to learning were identified no interventions were used to address barriers to learning teaching methods used included verbal instructions patient verbalized an understanding of discharge teaching	identified injury as a learning need identified followup care as a learning need patients primary language is english glasses for vision identified as a barrier to learning no interventions were used to address barriers to learning teaching methods used included printed patient instructions verbal instructions patient verbalized an understanding of discharge teaching
patient education ready to learn no apparent learning barriers were identified learning preferences include listening	with the assistance of a somali interpreter ready to learn no apparent learning barriers were identified learning preferences include listening
negative cardiovascular review of systems historian denies chest pain dyspnea on exertion	negative cardiovascular review of systems historian denies chest pain diaphoresis syncope palpitations
no joint swelling pain of a type other than joint pain a limp without known injury discomfort in legs that improves with movement usually occurring at night painful cramping in your hip thigh or calf muscles after walking or climbing stairs muscle cramps lower leg swelling without injury varicose veins or spider veins ulcers or sores on the lower leg red or hot area of the skin pale cold or blue legsor toes nail problem cracking peeling burning or itching between the toes or on soles of the feet or lumps	no pain of a type other than joint pain a limp without a known injury discomfort in the legs that improves with movement usually occurring at night painful cramping in your hip thigh or calf muscles after walking or climbing stairs muscle cramps lower leg swelling without a known injury varicose veins or spider veins ulcers or sores on the lower leg red or hot area of the skin pale cold or blue leg or toes nail problem cracking peeling burning or itching between the toes or on the soles of the feet lump or swollen gland under the skin or unable to remove a ring or other piece of jewelry
discussed patients current frequency of brushing and flossing need for regular flossing	discussed patients current frequency of brushing and flossing need for brushing for a longer interval
benefits and risks of acupuncture were discussed with patient and patient has signed consent authorization to proceed with treatment	the above was discussed with the patient and she voiced understanding of the content and plan
identified illness as a learning need identified followup care as a learning need no barriers to learning were identified teaching methods used included printed patient instructions verbal instructions patient verbalized an understanding of discharge teaching	identified followup care as a learning need patients primary language is english no barriers to learning were identified involved family member or primary caregiver to address barriers to learning teaching methods used included printed patient instructions verbal instructions patient verbalized an understanding of discharge teaching
identified illness as a learning need no barriers to learning were identified no interventions were used to address barriers to learning teaching methods used included printed patient instructions verbal instructions patient verbalized an understanding of discharge teaching	identified illness as a learning need identified injury as a learning need patients primary language is english no barriers to learning were identified no interventions were used to address barriers to learning teaching methods used included printed patient instructions verbal instructions patient verbalized an understanding of discharge teaching
no new confusion or inability to stay alert and awake any chest pain or discomfort sudden current and excruciating ripping or stabbing pain characteristic of a dissecting aortic aneurysm newly painful or blue toes on one side currently struggling to breathe even while inactive or resting currently feeling like you are going to collapse every time you stand sit vomit that looks like ground coffee vomiting blood uncontrollable or continuous rectal bleeding black sticky tarlike stools heavy vaginal bleeding or purple or red rashblotches that stay when pressed by a glass purpural rash	no new confusion or inability to stay alert and awake currently struggling to breathe even while inactive or resting currently feeling like you are going to collapse every time you stand sit any chest pain or discomfort sudden currentand excruciating ripping or stabbing pain characteristic of a dissecting aortic aneurysm newly painful or blue toes on one side vomit that looks like ground coffee vomiting blood black sticky tarlike stools uncontrollable or continuous rectal bleeding or purple or red rashblotches that stay when pressed by a glass purpural rash
identified followup care as a learning need patients primary language is english no barriers to learning were identified no interventions were used to address barriers to learning teaching methods used included printed patient instructions verbal instructions patient verbalized an understanding of discharge teaching	identified as a learning need injury patients primary language is english no barriers to learning were identified no interventions were used to address barriers to learning teaching methods used included printed patient instructions verbal instructions patient verbalized an understanding of discharge teaching
albuterol proventilventolin 90 mcgact hfa aerosol 2 puffs by inhalation every 4 hours as needed	albuterol proventilventolin 90 mcgact hfa aerosol 12 puffs by inhalation every 4 hours as needed 1 each
albuterol proventilventolin 90 mcgact hfa aerosol 2 puffs by inhalation every 6 hours as needed	fluticasone propionate flovent hfa 110 mcgact aerosol 2 puffs by inhalation two times a day as needed
patient arrives via hospital wheelchair history obtained from patient patient appears uncomfortable patient cooperative alert oriented to person place and time	complex assessment performed patient arrives via stretcher via emergency medical services history obtained from patient patient appears comfortable patient cooperative alert oriented to person place and time
explained treatment plan and the role of other members of the healthcare team participating in the procedure with the patient	the alternatives were also thoroughly discussed as well as the advanced directives and the patient was made aware that other members of the surgical team will participate in the procedure
ready to learn no apparent learning barriers were identified learning preference include listening	no apparent learning barriers were identified learning preferences include reading listening seeing doing
when ambulating with a cane place the cane in the hand on the side opposite the surgical limb	i began my consultation with the patient by reviewing the reason for the medical genetics consultation today
discussed goals risk alternatives advance directives and the necessity of the other members of the surgical team participating in the procedure with the patient and whoever else is present	discussed risks goals alternatives advance directives and necessity of other members of the team participating in the procedure with parent
no fever present greater than or equal to 1004 f or 38 c or suspected fever shaking chills or nausea or vomiting present	no fever present greater than or equal to 1004 f or 38 c or suspected fever very itchy eyes nose or throat hoarseness or lost voice bad breath or ear pain
patient discharged to home ambulating without assistance family driving accompanied by parent	patient discharged to home ambulating without assistance family driving accompanied by husbandwifepartner discharge instructions given to patient prescriptions given and instructions on side effects given
consultation consultant not available patient did not wish to wait patient scheduled for consultation at next visit	consultation 700 am hygiene appointment today no consultant available patient scheduled for consultation at next visit
discussed the risks benefits alternatives advance directives and the necessity of other members of the healthcare team participating in the procedure	the subject of discussion in todays structured group was the facilitation of selfknowledge and the development of more substantial relationships in recovery
discussed the risks benefits alternatives advance directives and the necessity of other members of the healthcare team participating in the procedure	discussed risks goals and alternatives to sedated bone marrow aspiration and biopsy the potential need for repeating the procedure advance directives and the necessity of other members of the healthcare team participating in the procedure with the patient
mother is blood type o is hepatitis b negative hiv negative and was found to be gbs positive	the patient has undergone genetic testing and was found to be brca1 and 2 negative as well as bart negative
patient understands that the warts are skin growths caused by a viral infection in the top layer of the skin	in the past year the patient has the following number of visits none in the hospital none in the er and one as an outpatient
see your childs doctor or return here or go to the nearest emergency department to have the sutures removed	therefore it is very important to return here or go to the nearest emergency department immediately for signs of infection
discussed with patient the necessity of other members of the healthcare team both male and female participating in the procedure if needed	discussed risks goals alternatives advance directives and the necessity of other members of the surgical team participating in the procedure with the patient
patient is here for the following immunizations inactivated influenza virus vaccination tetanus and diphtheria and acellular pertussis tdap vaccine	patient is here for the following immunizations meningococcal conjugate vaccine tetanus toxoid reduced diphtheria and acellular pertussis tdap vaccine
patient discharged to home ambulating without assistance driving self unaccompanied above persons verbalized understanding of discharge instructions and followup care	patient discharged to home ambulating without assistance family driving accompanied by other family member discharge instructions given to patient simple or moderate discharge teaching performed above persons verbalized understanding of discharge instructions and followup care
nurse visit ten minutes over half of which was spent in counseling and pointofcare testing	nurse visit ten minutes which over half was spent in consultation and pointofcare testing
discussed advance directives and the necessity of other members of the healthcare team both male and female participating in the procedure	risks benefits alternatives of procedure and necessity of other healthcare team members involved in procedure were discussed
the patient remained focused on group tasks and displayed interest in others and in the group process	the patients medications were reconciled comparing the pre and posthospitalization lists and then verified in the electronic orders prescribing tool
educational literature developmentally age appropriate provided at todays visit including caring for your 12monthold	educational literature developmentally age appropriate provided at todays visit including pediatric health promotion visits and vaccination schedule
patient education materials provided home exercise program was provided with duration and frequency of exercises included	patient education home exercise program was provided with duration and frequency of exercises included
identified illness as a learning need no barriers to learning were identified teaching methods used included printed patient instructions	identified illness as a learning need patients primary language is english no barriers to learning were identified no interventions were used to address barriers to learning teaching methods used included verbal instructions patient demonstrated an understanding of discharge teaching
the patient has had a chance to have their questions about this procedure answered and wishes to proceed procedural pause conducted to verify correct patient identity procedure to be performed and as applicable correct side and site correct patient position and availability of implants special equipment or special requirements	procedural pause conducted to review all pertinent records and verify correct patient identity procedure to be performed and as applicable correct side and site correct patient position and availability of implants special equipment or special requirements
patient arrives ambulatory gait steady history obtained from patient patient appears anxious patient cooperative alert oriented to person place and time	simple assessment performed patient arrives ambulatory gait steady history obtained from patient patient appears comfortable patient cooperative alert oriented to person place and time
cardiovascular assessment findings include heart rate normal heart rhythm normal sinus no associated diaphoresis	cardiovascular assessment findings include heart rate normal heart rhythm normal sinus no associated diaphoresis no associated dyspnea dizziness palpitations
no new confusion or inability to stay alert and awake new shortness of breath new wheezing or chest tightness or currently feeling like you are going to collapse every time you stand or sit up	no new confusion or inability to stay alert and awake new shortness of breath new wheezing or chest tightness or raised red or white itchy rash that comes and goes hives
explained diagnosis and treatment plan patientchildcaregiver expressed understanding of the content	explained diagnosis and treatment plan patient and her mother expressed understanding of the content
no new shortness of breath pain pressure or tightness in the chest jaw or arm or new confusion or inability to stay alert and awake	no new wheezing or chest tightness runny or blocked nose or discharge down the back of the throat severe widespread muscle aches or extreme fatigue or exhaustion
discussed risks goals alternatives advance directives and the necessity of other members of the healthcare team participating in the procedure with patient legal representative and others present during the discussion	discussed risks goals alternatives advanced directives and the necessity of other members of the healthcare team participating in the procedure
after explanation of the test and answering the patients questions the patient verbalized an understanding	patient education the impression and treatment plan were explained in detail to the patientfamily who expressed an understanding of the content
no cloudy or foulsmelling urine blood in the urine new daytime wetting new bedwetting changes in urine color foamy urine or vaginal discharge or other genital problem	no pain when passing urine urinating more often than usual cloudy or foulsmelling urine blood in the urine new daytime wetting new bedwetting change in urine color or foamy or frothy urine
the patient was explained the diagnosis and treatment planning decisions and expressed an understanding	i have explained my diagnosis and treatment and they have expressed understanding of that plan
discussed risks goals alternatives advance directives and the necessity of other members of the healthcare team participating in the procedure with patient legal representative and others present during the discussion	we discussed the low likelihood that a blood transfusion would be required during the postoperative period and the necessity of other members of the surgical team participating in the procedure
patient needs assistance with the following instrumental activities of daily living meal preparation medication administration housekeeping shopping managing finances transportation use drive caruse taxibus	patient needs assistance with the following instrumental activities of daily living unable to assess
no new confusion or inability to stay alert and awake currently struggling to breathe even while inactive or resting or currently feeling like you are going to collapse every time you stand sit	no new confusion or inability to stay alert and awake inability to speak or make normal sounds currently struggling to breathe even while inactive or resting sudden swelling of the lips tongue or mouth or currently feeling like she is going to collapse every time she stands sits
patient arrives via hospital wheelchair history obtained from patient patient appears in distress due to pain patient cooperative alert oriented to person place and time	complex assessment performed patient arrives via stretcher via emergency medical services unsteady gait assistance to cart history obtained from patient patient appears comfortable patient cooperative alert oriented to person place and time
adolescent dimension 3 emotional behavioral or cognitive conditions and complications intensity of servicelevel of care	dimension 3 emotional behavioral or cognitive conditions and complications the emotional problem that required admission to the present level of care continues
ready to learn no apparent learning barriers were identified in the familycaregiver learning preferences include listening	patient is ready to learn no apparent learning barriers were identified learning preferences include listening and visual aids
education provided on diagnosis and treatment plan using verbal instruction patient expressed acceptance of this and understanding of the content	the impression and treatment plan were explained in detail to the patientfamily who expressed an understanding of the content
no newly stiff or painful neck purple or red rashblotches that stay when pressed by a glass purpural rash currently feeling like you are going to collapse every time you stand sit complete inability to swallow or currently struggling to breathe even while inactive or resting	no new confusion or inability to stay alert and awake newly painful neck with difficulty bending the neck purple or red rashblotches that stay when pressed by a glass purpural rash severe headache sensitivity to bright light or currently feeling like you are going to collapse every time you stand sit
patient arrives via emergency medical services unsteady gait lift to cart history obtained from patient patient appears comfortable patient cooperative alert oriented to person place and time	complex assessment performed patient arrives via stretcher via emergency medical services gait steady history obtained from patient patient appears comfortable patient cooperative alert oriented to person place and time
discussed the risks benefits alternatives and the necessity of other members of the healthcare team participating in the procedure	discussed risks goals alternatives and necessity of other members of the team participating in the procedure with patient and parent
this information will be reviewed by the provider and the patientcaregiver will be contacted with any recommendations	this information will be shared with the patients primary provider and followup with the patient will be with the rn care team
hipaa authorization reviewed dated and signed by participant and filed in the mayo medical record	a copy of the form was given to the participant and a copy will be filed in the mayo medical record
complex assessment performed patient arrives ambulatory gait steady history obtained from patient patient appears comfortable patient cooperative alert oriented to person place and time	patient arrives via stretcher history obtained from patient patient appears uncomfortable patient cooperative alert oriented to person place and time
learns best by verbal instructions as procedure is being performed reading seeing listening	learns best by verbal instruction while procedure is performed reading seeing listening
discussed the necessity of other members of the healthcare team participating in the procedure	discussed the necessity of other members of the surgical team participating in the procedure and the patients perioperative care
by dismissal she was tolerating a general diet ambulating afebrile pain controlled and having normal bowel and bladder function	by the time of dismissal he was tolerating a regular diet ambulating without assistance and pain was controlled with oral pain medications
peripheral iv site established in the right forearm using an 18 gauge catheter in one attempt	peripheral iv site established in the left antecubital using an 18 gauge catheter in two attempts
following denial of allergies and review of potential side effects and complications including but not necessarily limited to infection allergic reaction local tissue breakdown and seizure the patient indicated they understood and agreed to proceed	following denial of allergy and review of potential side effects and complications including but not necessarily limited to infection allergic reaction local tissue breakdown systemic effects of corticosteroids elevation of blood glucose injury to soft tissue andor nerves and seizure the patient indicated they understood and agreed to proceed
peripheral iv site established in the left forearm using an 18 gauge catheter in one attempt	peripheral iv site established in the left hand using a 24 gauge catheter in one attempt
patient arrives via hospital wheelchair unsteady gait assistance to cart history obtained from patient patient appears comfortable patient cooperative alert oriented to person place and time	patient arrives ambulatory gait steady history obtained from patient patient appears generally ill uncomfortable patient cooperative alert oriented to person place and time
no typical cold symptoms fever present greater than or equal to 1004 f or 38 c or suspected fever rash white patches on lips tongue or mouth other than throat blisters in the mouth swollen or bull neck hoarseness or lost voice or ear pain	new wheezing or chest tightness runny or blocked nose or discharge down the back of the throat hoarseness or lost voice
there were no apparent barriers to learning or understanding and all questions were answered	there were no apparent barriers to this discussion and the patient expressed understanding of the problem and treatment options
patient discharged to home ambulating without assistance discharge instructions given to patient	patient left without being seen ambulating without assistance family driving accompanied by husbandwifepartner
incremental progress will lead to functional gains and increased independence accuracy and efficiency with activities of daily living instrumental activities of daily living and work tasks	functional limitations decreased active motion and decreased strength for activities of daily living yard work household chores lifting
relayed these directions to the patient by telephone who reports an adequate understanding of the plan and denies noting any signs of bleeding or recurrent strokelike symptoms	relayed these directions to the patients husband by telephone who reports an adequate understanding of the plan and denies noting any signs of bleeding or recurrent strokelike symptoms for the patient
identified illness as a learning need no barriers to learning were identified no interventions were used to address barriers to learning teaching methods used included printed patient instructions verbal instructions	identified illness as a learning need patients primary language is english glasses for vision identified as a barrier to learning no interventions were used to address barriers to learning teaching methods used included printed patient instructions verbal instructions patient verbalized an understanding of discharge teaching
your doctor did not find any pain over the bones in your back even though you might have pain in the muscles of the back	your doctor did not find any pain over the bones in your neck even though you might have pain in the neck muscles
no new confusion or inability to stay alert and awake noisy wheezy or raspy breathing that does not clear with coughing newly stiff or painful neck purple or red rashblotches that stay when pressed by a glass purpural rash feeling like you are going to pass out every time you stand or sit up or muffled voice or inability to open mouth fully	no new confusion or inability to stay alert and awake noisy wheezy or raspy breathing that doesnt clear with coughing new neck pain and difficulty bending the neck purple or red rashblotches that stay when pressed by a glass purpuric rash currently feeling like she is going to collapse every time she stands or sits up muffled voice or inability to open mouth fully or complete inability to swallow
patient discharged to home ambulating without assistance family driving accompanied by husbandwifepartner discharge instructions given to patient above persons verbalized understanding of discharge instructions and followup care	patient discharged to home ambulating without assistance family driving accompanied by parent discharge instructions given to patient discharge instructions given to mother discharge instructions given to father above persons verbalized understanding of discharge instructions and followup care
fetuses who have down syndrome tend to have a thickening of the skin on the back of the neck and therefore an increased nuchal translucency can indicate that the fetus has down syndrome	this screening option can be used to assess the chance that the fetus has down syndrome and the chance that the fetus has trisomy 18 between the 10th and 13th week of pregnancy
patient discharged to home ambulating without assistance family driving accompanied by parent discharge instructions given to mother above persons verbalized understanding of discharge instructions and followup care	patient discharged to home carried family driving accompanied by parent discharge instructions given to father
no uncontrollable or continuous rectal bleeding currently feeling like you are going to collapse every time you stand sit or new confusion or inability to stay alert and awake	no struggling to breathe even while inactive or resting new confusion or inability to stay alert and awake or severe lethargy
discussed the risks benefits and alternatives of the procedure and of possible blood transfusion	discussed risks goals and alternatives with patient and the necessity of other members of the surgical team participating in the interventional procedure
the traumatic brain injury physician discussed with the patient verbal and written information on tbi	i expanded information in those documents with the patient and pertinent additional details appear in the note below
explained diagnosis and treatment plan patient expressed understanding of the content patient was given a copy of this note	explained diagnosis and treatment plan patientchildcaretaker expressed understanding of the contente
i explained the diagnosis and treatment plan for the patient who expressed understanding of the content	i interviewed and examined the patient and have reviewed and agree with the history and exam as documented above by the resident
the patient appears ready to learn no apparent learning barriers were identified learning preferences include listening	patientfamily was ready to learn no apparent learning barriers were identified learning preferences include listening
education provided on diagnosis and treatment plan using verbal instruction patient expressed acceptance of this and understanding of the content	explained diagnosis and treatment plan patientchildcaregiver expressed understanding of the conten
patient offers verbalizations that indicate emotional and cognitive understanding of problems related to alcohol and other drug use and describes needed behavior change	he offers verbalizations that indicate emotional and cognitive understanding of problems related to drug use and describes needed behavior change
the patient has not had fever hearing loss drainage from the effected ear a change in sleep pattern a change in activity	the patient has not had fever hearing loss a change in sleep pattern a change in activity
discussed the risks benefits alternatives advanced directives and the necessity of other members of the healthcare team participating in the procedure	informed consent i discuss the risks benefits alternatives and the necessity of other members of the healthcare team participating in the procedure
tylenol extra strength 500mg tablet one to two tablets every six hours as needed for pain	instructions two tablets by mouth as needed then one tablet every hour until headache is relieved
patient verbalized cognitive awareness of problems related to alcohol and other drug use however behavior change does not seem to be occurring	patient offered verbalizations that indicate emotional and cognitive understanding of problems related to alcohol and other drug use and he describes needed behavior change
parent is comfortable with information and will call back with any other questions or concerns or worsening symptoms	the patient verbalized understanding of the above information and will contact the care provider with any further questions
the patient and barriers were assessed cultural religiousspiritual motivational physicalcognitive language emotional	barriers assessed cultural religiousspiritual motivational physicalcognitive language emotional
no new joint pain or swelling pain of a type other than joint pain wound with redness swelling warmth or puslike discharge or red or hot area of the skin	no new joint pain or swelling pain of a type other than joint pain wound with redness swelling warmth or puslike discharge red or hot area of the skin or new onesided lower leg swelling
reinforcement of the importance of properly cleaning the humidifier and empty the water daily was provided	hand therapy sp repair of the left flexor digitorum profundus of the long ring and small fingers and repair of the ulnar artery zone v
explained diagnosis and treatment plan patient expressed understanding and agreement of the content	explained diagnosis and treatment plan patient and mother expressed understanding of the content
albuterol aerosol 90 mcgactuation 2 puffs by inhalation as directed by prescriber as needed	ipratropiumalbuterol combivent 18103 mcgactuation aerosol 2 puffs by inhalation four times a day as needed re
no currently feeling like you are going to collapse every time you stand or sit up new confusion or inability to stay alert and awake uncontrollable or continuous rectal bleeding or black or sticky tarlike stools	no currently struggling to breathe even while inactive or resting or new confusion or inability to stay alert and awake
patient arrives via hospital wheelchair unsteady gait assistance to cart history obtained from patient patient appears uncomfortable patient cooperative alert oriented to person place and time	patient arrives via hospital wheelchair gait steady history obtained from patient patient appears anxious uncomfortable patient cooperative alert oriented to person place and time
no appendix removal gallbladder removal prior hysterectomy removal of the uterus or womb removal of both ovaries or tubal ligation or sterilization	no appendix removal gallbladder removal removal of both ovaries or tubal ligation or sterilization
discussed risks goals alternatives advanced directives and complications with the patient as well as necessity of other members of the surgical team participating in the interventional procedure	consent comment discussed the risks benefits alternatives and the necessity of other members of the healthcare team participating in the procedure
patient has not returned to the travel and tropical medicine clinic for the 2 hepatitis a vaccination despite having been sent two reminders	patient is at least 2 years old and has received one dose of hepatitis a vaccine and it has been at least 6 months since first dose
the patient was instructed to contact their primary care provider for any further questions or concerns	she was encouraged to contact the study team with any questions or concerns prior to her visit
patient confirms the following sinusitis symptoms upper respiratory symptoms 7 days colored nasal discharge maxillary or frontal pressure facial pain worse with bending forward	the patient has had a combination of the following symptom for greater than 7 days upper respiratory symptoms for 7 days colored nasal discharge maxillary or frontal pressure facial pain worse with bending forward
identified illness as a learning need identified followup care as a learning need identified medications as a learning need patients primary language is english no barriers to learning were identified no interventions were used to address barriers to learning teaching methods used included printed patient instructions	identified illness as a learning need identified followup care as a learning need patients primary language is english no barriers to learning were identified no interventions were used to address barriers to learning teaching methods used included verbal instructions
i instructed the patient on the importance of maintaining a diet constant in vitamin k reporting any change in overthecounter or prescription medicines reporting any nausea with vomitingdiarrhea reporting viralbacterial febrile illnesses	i instructed the patient on the importance of maintaining a diet constant in vitamin k maintaining a similar diet during vacation or holidays reporting any change in overthecounter or prescription medicines reporting any nausea with vomitingdiarrhea reporting viralbacterial febrile illnesses reporting dentalsurgicalmedical proceduresendoscopies at least 10 days ahead of time
no new confusion or inability to stay alert and awake severe lethargy or floppiness refusing to move neck current or recent seizure highpitched cry like a cats cry or a weak whimper or moaning cry that is not consolable purple or red rashblotches that stay when pressed by a glass purpural rash or bulging or tense fontanel soft spot on the head when not crying	no new confusion or inability to stay alert and awake new wheezing or chest tightness sudden swelling of the lips tongue or mouth sudden severe swelling of the eyelids difficulty swallowing that came on suddenly or purple or red rashblotches that stay when pressed by a glass purpuric rash
recheck if not resolved in one week or recheck if breathing or swallowing problems or worsening symptoms occur	additional follow up recheck if not resolved in one week recheck if breathing problems recheck if swallowing problems recheck if worsening symptoms occur
although the splint will temporarily keep the broken bone ends from moving it may be changed to a cast when you visit your doctor or the orthopedic bone doctor	although the splint will temporarily provide adequate immobilization for the injured area it will most likely be converted to a cast by the orthopedic bone doctor
instructions inject the delivered dose as needed for hypersensitivitybronchospasm epipen 2pak kit contains 2 autoinjectors	instructions epipen 2pak hypersensitivitybronchospasm epipen 2pak kit contains 2 autoinjectors
i also discussed advance directives as well as the necessity of other members of the surgical team participating in the procedure	discussed risks goals alternatives advance directives and necessity of other members of the team participating in the procedure with patient and spouse
discussed the risks benefits alternatives and the necessity of other members of the healthcare team participating in the procedure with the patient or legal representative and others present during the discussion	discussed risks goals alternatives advance directives and necessity of other members of the team participating in the procedure with parent
patient education ready to learn no apparent learning barriers were identified learning preferences include listening	no apparent learning barriers were identified learning preferences include reading listening
asymptomatic exposure had face to face contact while not wearing a mask within 3 feet of a coughing or sneezing person with a confirmed case of pertussis and who has not already completed 5 days of antibiotic treatment	asymptomatic exposure has been exposed to a person with a confirmed case of pertussis who has not completed 5 days of antibiotic treatment
explained diagnosis and treatment plan patientcaregiver expressed understanding of the content	explained diagnosis and treatment plan patient and mom expressed understanding of the content
spent 25 minutes with the patient and greater than 50 of this time was spent counseling the patient regarding diagnosis and available treatment options	spent 15 minutes with the patient and greater than 50 of this time was spent counseling the patient regarding diagnosis and available treatment options 025 modifier
